id,name,description,is_active
1,Hiking,"Walking through natural trails and mountainous areas",true
2,Trekking,"Long-distance walking and trekking through natural environments",true
3,Sightseeing,"General sightseeing and visiting tourist attractions",true
4,Photography,"Photography of landscapes, attractions, wildlife and cultural locations",true
5,Wildlife Safari,"Wildlife observation through safari experiences",true
6,Bird Watching,"Observing and photographing bird species",true
7,Whale Watching,"Marine wildlife observation including whales",true
8,Dolphin Watching,"Marine wildlife observation including dolphins",true
9,Surfing,"Surfing and related coastal water activities",true
10,Swimming,"Swimming at suitable beaches, pools or natural water locations",true
11,Snorkeling,"Underwater exploration using snorkeling equipment",true
12,Scuba Diving,"Underwater diving and marine exploration",true
13,Boating,"Boat-based sightseeing and recreational activities",true
14,Kayaking,"Kayaking through rivers, lakes or coastal waters",true
15,River Rafting,"White-water rafting and river adventure activities",true
16,Camping,"Outdoor overnight camping experiences",true
17,Rock Climbing,"Rock climbing and related adventure activities",true
18,Caving,"Exploring caves and underground natural environments",true
19,Cycling,"Cycling through cities, villages and natural environments",true
20,Beach Relaxation,"Relaxing and spending leisure time at beaches",true
21,Tea Tasting,"Tasting and experiencing locally produced tea",true
22,Tea Factory Visit,"Visiting tea factories and learning about tea production",true
23,Plantation Tour,"Exploring tea, spice and agricultural plantations",true
24,Agricultural Experience,"Participating in or observing agricultural activities",true
25,Ayurvedic Treatment,"Traditional Ayurvedic wellness and therapeutic experiences",true
26,Meditation,"Meditation and mindfulness experiences",true
27,Yoga,"Yoga and wellness activities",true
28,Spa and Wellness,"Spa, relaxation and wellness experiences",true
29,Temple Visit,"Visiting religious temples and places of worship",true
30,Cultural Experience,"Experiencing local traditions, customs, arts and culture",true
31,Historical Exploration,"Exploring historical monuments and archaeological locations",true
32,Museum Visit,"Visiting museums and educational collections",true
33,Heritage Exploration,"Exploring cultural and architectural heritage locations",true
34,Local Food Experience,"Experiencing traditional Sri Lankan food and cuisine",true
35,Cooking Class,"Learning to prepare traditional local dishes",true
36,Food Tasting,"Tasting local dishes, snacks and culinary products",true
37,Shopping,"Shopping for local products, souvenirs and goods",true
38,Handicraft Experience,"Exploring and purchasing traditional handicrafts",true
39,Local Market Visit,"Visiting traditional markets and local marketplaces",true
40,Nightlife,"Evening entertainment and nightlife experiences",true
41,Family Recreation,"Recreational activities suitable for families",true
42,Waterfall Visit,"Visiting and experiencing waterfalls",true
43,Scenic Viewpoint,"Visiting locations with panoramic scenic views",true
44,Sunrise Viewing,"Viewing and photographing sunrise locations",true
45,Sunset Viewing,"Viewing and photographing sunset locations",true
46,Stargazing,"Night sky observation and astronomy-related experiences",true
47,Festival Participation,"Participating in cultural and religious festivals",true
48,Event Participation,"Attending tourism, cultural or entertainment events",true
49,Educational Visit,"Educational and learning-oriented visits",true
50,Train Journey,"Scenic railway journeys through Sri Lankan landscapes",true
